customer_id,age,gender,tenure_months,contract_type,internet_service,online_security,tech_support,streaming_tv,monthly_charges,total_charges,num_support_calls,payment_method,churn
CUST_00000,52,Female,16,Two Year,DSL,No,Yes,Yes,20.0,385.23,2,Electronic Check,0
CUST_00001,42,Male,21,Two Year,DSL,No,No,Yes,59.3,1270.72,3,Mailed Check,0
CUST_00002,54,Female,60,Month-to-Month,No,No,No,No,124.03,7379.82,4,Bank Transfer,0
CUST_00003,67,Female,1,One Year,DSL,No,Yes,No,61.23,118.0,5,Electronic Check,1
CUST_00004,41,Female,20,Month-to-Month,No,No,Yes,Yes,35.05,717.98,4,Electronic Check,0
CUST_00005,41,Male,46,One Year,No,Yes,No,Yes,20.0,899.19,1,Electronic Check,0
CUST_00006,68,Female,6,Month-to-Month,No,No,Yes,No,20.0,42.9,2,Electronic Check,0
CUST_00007,56,Female,50,Month-to-Month,Fiber Optic,No,No,No,81.07,4075.11,0,Mailed Check,0
CUST_00008,37,Female,1,Month-to-Month,Fiber Optic,No,No,Yes,51.98,43.81,1,Electronic Check,1
CUST_00009,53,Male,31,Month-to-Month,No,Yes,No,Yes,54.47,1696.39,3,Bank Transfer,0
CUST_00010,38,Male,64,One Year,Fiber Optic,No,No,Yes,52.11,3255.63,0,Bank Transfer,0
CUST_00011,38,Female,25,Month-to-Month,Fiber Optic,No,No,Yes,60.79,1498.89,1,Electronic Check,1
CUST_00012,48,Male,13,One Year,No,No,Yes,No,28.19,390.42,3,Electronic Check,0
CUST_00013,18,Female,1,Month-to-Month,Fiber Optic,No,No,No,74.48,168.31,2,Mailed Check,1
CUST_00014,19,Male,60,Month-to-Month,No,No,No,No,22.32,1328.86,1,Electronic Check,1
CUST_00015,36,Male,15,One Year,DSL,Yes,No,No,42.32,707.04,1,Bank Transfer,0
CUST_00016,29,Female,1,Two Year,DSL,No,No,No,95.32,134.69,1,Electronic Check,1
CUST_00017,49,Female,28,Month-to-Month,Fiber Optic,No,No,No,76.29,2147.7,0,Credit Card,0
CUST_00018,31,Female,15,Month-to-Month,DSL,Yes,Yes,Yes,85.57,1232.94,1,Electronic Check,0
CUST_00019,23,Male,3,Two Year,Fiber Optic,No,No,Yes,129.51,340.01,2,Bank Transfer,0
CUST_00020,66,Female,5,Month-to-Month,DSL,No,No,No,63.21,346.93,0,Credit Card,1
CUST_00021,41,Male,1,Two Year,No,No,No,Yes,65.64,39.32,2,Credit Card,0
CUST_00022,46,Male,20,One Year,DSL,Yes,No,Yes,57.07,1110.64,2,Mailed Check,0
CUST_00023,23,Female,23,Month-to-Month,Fiber Optic,Yes,No,No,51.7,1180.01,1,Electronic Check,0
CUST_00024,36,Male,16,Month-to-Month,DSL,Yes,Yes,Yes,34.68,546.72,2,Bank Transfer,0
CUST_00025,46,Female,40,Month-to-Month,Fiber Optic,No,Yes,No,67.52,2745.92,4,Electronic Check,0
CUST_00026,27,Male,47,Month-to-Month,DSL,No,Yes,Yes,75.65,3530.34,0,Bank Transfer,0
CUST_00027,50,Female,22,Two Year,DSL,Yes,No,No,77.32,1741.17,3,Bank Transfer,0
CUST_00028,35,Male,1,One Year,Fiber Optic,No,No,Yes,66.93,88.92,2,Bank Transfer,0
CUST_00029,40,Male,28,One Year,DSL,Yes,No,No,92.79,2514.28,2,Mailed Check,0
CUST_00030,35,Female,12,One Year,DSL,Yes,No,Yes,65.88,805.32,4,Bank Transfer,0
CUST_00031,72,Male,20,Month-to-Month,Fiber Optic,No,No,No,52.72,921.03,3,Electronic Check,0
CUST_00032,44,Female,25,One Year,DSL,Yes,No,No,37.19,885.0,2,Bank Transfer,0
CUST_00033,29,Male,10,Month-to-Month,Fiber Optic,Yes,No,Yes,20.0,223.15,5,Mailed Check,0
CUST_00034,57,Male,59,One Year,DSL,No,No,Yes,108.81,6419.4,1,Mailed Check,0
CUST_00035,26,Male,3,Month-to-Month,DSL,No,No,Yes,44.03,43.69,0,Credit Card,0
CUST_00036,48,Female,26,One Year,Fiber Optic,No,No,No,37.23,912.02,1,Bank Transfer,0
CUST_00037,18,Female,1,Two Year,DSL,No,Yes,No,52.47,-77.97,3,Mailed Check,0
CUST_00038,25,Female,62,Month-to-Month,No,No,No,Yes,56.65,3445.07,0,Electronic Check,1
CUST_00039,47,Female,2,Month-to-Month,No,No,No,No,114.16,257.26,0,Mailed Check,1
CUST_00040,56,Female,2,One Year,DSL,No,No,No,55.16,82.44,1,Electronic Check,1
CUST_00041,47,Male,9,Month-to-Month,No,No,No,Yes,144.0,1304.51,1,Electronic Check,0
CUST_00042,43,Male,11,One Year,DSL,No,No,No,66.91,736.7,1,Bank Transfer,0
CUST_00043,40,Female,5,Two Year,DSL,No,No,No,126.71,635.18,0,Bank Transfer,0
CUST_00044,22,Male,21,Month-to-Month,DSL,No,No,No,91.82,1979.33,1,Credit Card,1
CUST_00045,34,Male,14,Month-to-Month,Fiber Optic,No,No,Yes,75.83,1051.49,1,Mailed Check,1
CUST_00046,38,Male,1,One Year,Fiber Optic,No,No,Yes,112.34,157.87,3,Credit Card,0
