transaction_id,product,quantity
T000000,Bread,1
T000000,Onions,1
T000000,Butter,3
T000000,Milk,3
T000000,Yogurt,3
T000000,Bananas,2
T000000,Beef,4
T000000,Sugar,4
T000001,Bread,2
T000001,Orange Juice,1
T000001,Yogurt,2
T000001,Tea,1
T000001,Eggs,2
T000002,Onions,3
T000002,Rice,2
T000002,Sugar,2
T000002,Cheese,4
T000003,Butter,3
T000003,Milk,1
T000003,Eggs,1
T000003,Bread,1
T000004,Rice,3
T000004,Bread,3
T000004,Coffee,2
T000004,Orange Juice,4
T000004,Milk,1
T000004,Yogurt,3
T000004,Butter,4
T000004,Cheese,4
T000004,Sugar,2
T000005,Butter,3
T000005,Bread,4
T000005,Eggs,3
T000005,Chicken,1
T000006,Milk,2
T000006,Flour,2
T000006,Butter,3
T000006,Tea,4
T000006,Sugar,2
T000007,Bread,2
T000007,Tomatoes,4
T000007,Apples,4
T000007,Flour,4
T000007,Butter,1
T000007,Beef,4
T000007,Tea,1
T000007,Cheese,2
T000008,Orange Juice,3
T000009,Rice,1
T000009,Pasta,4
T000009,Orange Juice,3
T000009,Flour,2
T000009,Eggs,4
T000009,Sugar,1
T000010,Beef,2
T000010,Cheese,2
T000010,Flour,3
T000011,Bananas,1
T000011,Yogurt,4
T000011,Flour,4
T000011,Chicken,3
T000011,Butter,1
T000011,Tea,4
T000011,Eggs,4
T000012,Bread,3
T000012,Coffee,2
T000012,Orange Juice,3
T000012,Pasta,2
T000012,Milk,2
T000012,Flour,2
T000012,Butter,2
T000012,Sugar,2
T000013,Yogurt,2
T000013,Apples,1
T000013,Chicken,2
T000013,Bananas,3
T000013,Sugar,4
T000014,Flour,2
T000015,Onions,2
T000015,Butter,3
T000015,Cheese,2
T000016,Beef,2
T000016,Cheese,3
T000016,Flour,1
T000017,Onions,4
T000017,Rice,4
T000018,Rice,2
T000018,Onions,1
T000018,Orange Juice,2
T000018,Yogurt,3
T000018,Cheese,3
T000018,Sugar,1
T000019,Onions,2
T000019,Butter,4
T000019,Eggs,3
T000019,Flour,1
T000020,Bread,4
T000020,Onions,3
T000020,Yogurt,2
T000020,Tea,2
T000020,Eggs,3
T000020,Sugar,2
T000021,Rice,3
T000022,Yogurt,2
T000022,Orange Juice,2
T000022,Rice,2
T000023,Apples,4
T000023,Eggs,4
T000024,Orange Juice,1
T000024,Beef,2
T000024,Tomatoes,4
T000025,Chicken,3
T000026,Bread,4
T000026,Orange Juice,2
T000026,Milk,1
T000026,Yogurt,2
T000026,Butter,3
T000026,Tea,2
T000027,Sugar,1
T000027,Tomatoes,4
T000028,Bread,4
T000028,Milk,1
T000028,Tomatoes,2
T000028,Yogurt,1
T000028,Chicken,2
T000028,Butter,2
T000028,Beef,4
T000028,Sugar,1
T000029,Orange Juice,3
T000029,Flour,4
T000029,Apples,3
T000029,Yogurt,1
T000029,Bananas,3
T000030,Bread,1
T000030,Onions,4
T000030,Pasta,4
T000030,Milk,1
T000030,Butter,1
T000030,Tomatoes,2
T000030,Bananas,3
T000030,Eggs,1
T000031,Rice,3
T000031,Onions,1
T000031,Yogurt,2
T000031,Butter,3
T000031,Beef,1
T000031,Eggs,2
T000032,Onions,1
T000032,Butter,1
T000032,Flour,2
T000033,Onions,4
T000033,Pasta,1
T000033,Flour,2
T000034,Bread,1
T000034,Milk,2
T000034,Flour,1
T000034,Beef,4
T000034,Eggs,3
T000034,Sugar,4
T000035,Bread,3
T000035,Coffee,4
T000035,Milk,3
T000035,Yogurt,3
T000035,Chicken,2
T000035,Eggs,4
T000035,Sugar,4
T000036,Bread,2
T000036,Coffee,2
T000036,Milk,1
T000036,Yogurt,3
T000036,Butter,1
T000036,Eggs,2
T000036,Sugar,1
