date,total_sales,electronics_sales,clothing_sales,food_sales,home_sales,num_transactions,avg_transaction_value
2021-01-01,104.97,93.39,131.82,109.46,100.07,46,1.84
2021-01-02,115.21,115.71,81.97,90.53,134.91,45,2.62
2021-01-03,127.88,92.71,126.1,118.25,104.53,47,2.56
2021-01-04,126.76,100.02,141.04,149.41,151.12,47,2.59
2021-01-05,92.79,119.88,105.19,85.4,101.07,53,1.78
2021-01-06,82.92,106.05,92.49,62.37,78.88,57,1.97
2021-01-07,105.86,74.42,82.64,109.47,103.19,37,2.21
2021-01-08,114.32,145.32,100.56,138.0,97.63,40,2.2
2021-01-09,118.54,128.43,108.49,139.58,136.47,63,2.82
2021-01-10,133.46,162.92,157.84,107.45,134.49,58,2.62
2021-01-11,113.52,110.44,98.45,125.29,101.32,54,2.27
2021-01-12,97.08,97.99,80.23,80.8,102.68,42,1.83
2021-01-13,94.27,93.64,120.15,78.33,122.31,53,2.09
2021-01-14,77.51,85.28,54.67,94.91,74.5,47,1.49
2021-01-15,95.96,75.22,124.63,81.55,120.19,57,1.85
2021-01-16,124.15,89.14,137.32,106.52,112.61,57,2.22
2021-01-17,124.43,110.09,148.95,87.15,91.19,60,2.39
2021-01-18,127.8,143.49,112.05,156.22,105.12,52,2.56
2021-01-19,99.13,81.4,70.24,116.54,94.3,48,1.91
2021-01-20,84.18,92.94,96.19,90.61,70.02,39,1.72
2021-01-21,117.72,150.92,141.33,135.4,82.42,59,2.35
2021-01-22,117.35,88.75,134.28,92.85,146.56,43,2.39
2021-01-23,136.81,150.98,107.49,133.39,165.04,46,2.91
2021-01-24,126.64,122.36,145.89,115.33,145.05,58,3.09
2021-01-25,125.5,153.22,145.75,94.91,100.49,48,2.24
2021-01-26,115.58,93.19,126.57,114.61,89.25,41,2.06
2021-01-27,93.01,103.76,107.86,116.49,68.88,49,1.82
2021-01-28,113.0,135.92,136.45,81.82,128.19,55,2.57
2021-01-29,119.73,151.67,127.89,104.75,150.54,55,2.92
2021-01-30,139.31,154.62,104.92,114.86,133.5,57,3.03
2021-01-31,140.91,140.67,139.87,118.77,108.71,43,3.28
2021-02-01,155.47,166.46,116.07,193.57,156.62,53,2.29
2021-02-02,120.28,146.91,113.61,117.98,109.37,48,2.45
2021-02-03,99.84,104.07,94.28,97.82,92.34,59,1.88
2021-02-04,123.32,88.57,91.21,142.6,132.3,49,2.74
2021-02-05,119.33,150.18,108.5,94.59,134.99,43,2.25
2021-02-06,150.06,167.12,115.03,148.91,115.0,50,3.57
2021-02-07,133.02,147.11,157.62,127.43,95.95,51,2.61
2021-02-08,129.29,107.24,164.02,136.81,167.64,57,3.23
2021-02-09,127.96,140.16,95.12,166.31,107.44,55,2.37
2021-02-10,123.31,115.46,156.99,143.25,90.3,50,2.28
2021-02-11,122.26,133.35,123.91,114.76,99.51,49,1.88
2021-02-12,135.76,103.72,119.44,162.45,98.21,62,2.56
2021-02-13,150.28,164.51,112.13,120.59,140.52,66,2.24
2021-02-14,143.09,185.96,143.14,102.78,169.05,53,3.18
2021-02-15,140.57,102.46,165.4,115.64,127.18,41,2.87
2021-02-16,126.5,162.72,142.22,114.39,122.27,39,2.75
2021-02-17,131.55,124.2,96.05,132.39,145.41,49,2.99
2021-02-18,128.96,157.64,95.91,137.87,129.65,44,2.63
2021-02-19,124.2,145.24,116.96,154.79,151.13,48,2.11
2021-02-20,161.36,167.85,141.54,162.32,196.8,54,4.25
2021-02-21,158.78,181.5,133.29,158.9,112.09,50,2.89
2021-02-22,145.68,178.76,126.53,106.37,169.98,45,3.74
2021-02-23,141.83,133.67,167.66,102.25,138.49,42,3.22
2021-02-24,135.82,121.72,170.79,139.98,175.65,44,2.38
2021-02-25,139.28,153.29,131.35,134.11,137.88,56,2.84
2021-02-26,137.8,163.25,171.38,165.84,178.06,52,3.28
2021-02-27,159.31,184.38,142.25,126.88,183.65,38,3.32
2021-02-28,170.14,200.55,167.74,121.65,144.48,48,4.05
2021-03-01,166.32,159.89,138.98,161.23,170.15,54,2.68
2021-03-02,134.95,160.69,146.33,113.7,174.8,44,3.14
2021-03-03,127.59,98.52,164.26,93.11,154.96,48,2.32
2021-03-04,122.76,126.04,130.38,139.31,93.11,70,2.67
2021-03-05,138.0,97.08,126.23,105.84,155.09,47,2.82
2021-03-06,174.21,155.88,189.66,185.53,158.07,54,3.56
2021-03-07,183.98,169.24,142.36,159.81,129.56,41,4.38
2021-03-08,159.34,149.41,196.5,128.13,150.11,57,3.12
2021-03-09,153.19,171.15,153.47,142.14,128.81,46,3.13
2021-03-10,136.38,127.26,132.24,161.05,162.47,56,2.53
2021-03-11,130.6,126.58,137.32,122.14,117.85,48,2.14
2021-03-12,156.7,132.03,168.44,180.28,187.5,48,3.07
2021-03-13,184.5,170.47,137.1,143.04,129.22,50,3.62
2021-03-14,173.0,144.69,191.96,201.32,153.05,61,4.22
2021-03-15,178.55,132.83,150.9,150.37,150.82,64,3.64
2021-03-16,119.7,127.13,135.07,132.44,100.57,57,2.3
2021-03-17,143.63,158.13,171.43,149.3,106.42,34,2.52
2021-03-18,140.47,150.54,166.09,176.64,114.1,51,2.93
2021-03-19,152.55,149.21,157.36,142.24,157.64,53,2.68
2021-03-20,172.39,159.95,174.48,127.52,150.81,68,3.59
2021-03-21,155.74,189.69,122.37,110.81,148.02,41,2.51
2021-03-22,162.86,164.72,189.76,194.8,150.83,51,3.07
2021-03-23,151.52,149.63,130.74,153.77,185.7,53,3.16
2021-03-24,152.14,108.84,151.84,177.27,189.14,49,4.11
2021-03-25,136.26,123.28,118.63,114.55,135.69,37,2.43
2021-03-26,149.2,138.48,116.42,135.34,134.0,50,2.82
2021-03-27,168.1,157.89,181.17,120.71,128.44,50,3.36
2021-03-28,186.31,195.27,136.49,237.9,236.99,53,3.0
2021-03-29,169.78,173.21,195.11,186.88,124.98,59,3.46
2021-03-30,143.99,153.31,128.23,181.42,126.51,50,3.0
2021-03-31,143.73,166.58,100.62,123.51,126.32,53,3.19
2021-04-01,143.55,170.51,144.51,153.15,128.08,49,2.43
2021-04-02,168.0,189.99,122.33,186.0,134.16,41,3.11
2021-04-03,167.02,212.67,144.59,148.74,195.4,51,3.55
2021-04-04,174.7,124.2,196.4,211.19,135.13,48,3.88
2021-04-05,163.29,133.49,120.45,207.1,176.51,59,2.72
2021-04-06,135.27,95.3,162.81,166.5,104.74,39,2.76
2021-04-07,142.07,154.64,99.78,162.45,105.46,59,2.41
2021-04-08,145.6,180.37,123.48,126.16,181.36,55,2.91
2021-04-09,158.67,134.25,181.61,137.88,129.17,53,2.74
2021-04-10,171.9,215.94,152.95,219.69,205.03,56,3.58
2021-04-11,163.92,120.67,124.76,115.76,168.31,53,2.98
2021-04-12,163.0,205.49,149.33,184.13,121.71,41,3.2
2021-04-13,146.37,133.33,126.2,164.48,186.36,52,2.93
2021-04-14,130.87,99.58,157.79,140.51,111.0,48,2.73
2021-04-15,141.06,139.86,125.26,182.54,171.5,54,2.39
2021-04-16,162.24,138.57,190.37,143.93,130.0,39,3.31
2021-04-17,192.58,167.73,237.87,174.09,233.48,50,3.57
2021-04-18,179.2,158.48,172.08,133.93,126.86,51,3.38
2021-04-19,169.06,199.8,210.64,163.26,170.26,58,3.52
2021-04-20,148.23,151.71,137.31,126.97,172.19,49,2.18
2021-04-21,118.79,105.34,151.86,107.62,149.78,58,2.38
2021-04-22,141.38,150.74,106.54,169.76,176.09,48,3.14
2021-04-23,157.68,178.13,175.38,198.89,187.92,50,3.5
2021-04-24,197.13,170.24,196.4,159.96,243.05,44,3.65
2021-04-25,174.21,165.17,162.47,160.88,142.77,50,3.87
